zip3,destination,scf
882,ROSWELL NM 882,ROSWELL NM 882D
883,ALAMOGORDO NM 883,ALAMOGORDO NM 883D
884,TUCUMCARI NM 884,TUCUMCARI NM 884D
885,EL PASO TX 885U,SCF EL PASO TX 798
886,LAS VEGAS NV 889U,SCF LAS VEGAS NV 890
887,LAS VEGAS NV 889U,SCF LAS VEGAS NV 890
888,LAS VEGAS NV 889U,SCF LAS VEGAS NV 890
889,LAS VEGAS NV 889U,SCF LAS VEGAS NV 890
890,LAS VEGAS NV 890,SCF LAS VEGAS NV 890
891,LAS VEGAS NV 891U,SCF LAS VEGAS NV 890
892,ELY NV 893,ELY NV 893D
893,ELY NV 893,ELY NV 893D
894,RENO NV 894,SCF RENO NV 894
895,RENO NV 895U,SCF RENO NV 894
896,CARSON CITY NV 897U,SCF RENO NV 894
897,CARSON CITY NV 897U,SCF RENO NV 894
898,ELKO NV 898,ELKO NV 898D
899,LOS ANGELES CA 900U,SCF LOS ANGELES CA 900
900,LOS ANGELES CA 900U,SCF LOS ANGELES CA 900
901,LOS ANGELES CA 901U,SCF LOS ANGELES CA 900
902,INGLEWOOD CA 902,SCF INGLEWOOD CA 902
903,INGLEWOOD CA 903U,SCF INGLEWOOD CA 902
904,SANTA MONICA CA 904U,SCF INGLEWOOD CA 902
905,TORRANCE CA 905U,SCF INGLEWOOD CA 902
906,LONG BEACH CA 906,SCF LONG BEACH CA 907
907,LONG BEACH CA 907,SCF LONG BEACH CA 907
908,LONG BEACH CA 908U,SCF LONG BEACH CA 907
909,PASADENA CA 910,SCF PASADENA CA 910
910,PASADENA CA 910,SCF PASADENA CA 910
911,PASADENA CA 911U,SCF PASADENA CA 910
912,GLENDALE CA 912U,SCF PASADENA CA 910
913,VAN NUYS CA 913,SCF VAN NUYS CA 913
914,VAN NUYS CA 914U,SCF VAN NUYS CA 913
915,BURBANK CA 915U,SCF VAN NUYS CA 913
916,NORTH HOLLYWOOD CA 916U,SCF VAN NUYS CA 913
917,INDUSTRY CA 917,SCF INDUSTRY CA 917
918,INDUSTRY CA 918U,SCF INDUSTRY CA 917
919,SAN DIEGO CA 919,SCF SAN DIEGO CA 920
920,SAN DIEGO CA 920,SCF SAN DIEGO CA 920
921,SAN DIEGO CA 921U,SCF SAN DIEGO CA 920
922,SN BERNARDINO CA 922,SCF SN BERNARDINO CA 923
923,SN BERNARDINO CA 923,SCF SN BERNARDINO CA 923
924,SN BERNARDINO CA 924U,SCF SN BERNARDINO CA 923
925,SN BERNARDINO CA 925,SCF SN BERNARDINO CA 923
926,SANTA ANA CA 926,SCF SANTA ANA CA 926
927,SANTA ANA CA 927U,SCF SANTA ANA CA 926
928,ANAHEIM CA 928,ANAHEIM CA 928D
929,OXNARD CA 930,OXNARD CA 930D
930,OXNARD CA 930,OXNARD CA 930D
931,SANTA BARBARA CA 931U,SCF SANTA BARBARA CA 931
932,BAKERSFIELD CA 932,SCF BAKERSFIELD CA 932
